track_id,liked_at,title,duration_ms,primary_genre
143449115,2025-10-03 15:02:01+00:00,MARTINE ROSE,186890,rusrap
330817,2025-10-03 09:52:49+00:00,Let Down,299260,indie
10169820,2025-09-29 21:03:59+00:00,Alive,204540,electronics
332895,2025-09-29 14:47:22+00:00,We Are The People,267360,electronics
332764,2025-09-28 13:22:49+00:00,Walking On A Dream,196340,electronics
25788,2025-09-27 13:14:58+00:00,The Winner Takes It All,294860,pop
2836678,2025-09-25 13:02:57+00:00,"Young, Wild & Free",207330,soundtrack
98108504,2025-09-24 18:40:45+00:00,"Ain't Got No, I Got Life",170370,vocaljazz
135752496,2025-09-24 14:42:19+00:00,Want To Love - Jejkobbb Remix,157170,electronics
120805923,2025-09-21 17:11:46+00:00,самый лучший трудовик,118780,alternative
142512511,2025-09-17 18:03:56+00:00,овердоз,88740,rusrap
142763202,2025-09-16 19:24:23+00:00,дырки в штанах,106660,rusrap
136595245,2025-09-15 15:09:00+00:00,распять,119570,rusrap
140766231,2025-09-09 16:07:00+00:00,back to friends,199030,pop
153590,2025-09-08 15:27:25+00:00,Glorious,207800,pop
34235612,2025-09-04 10:22:12+00:00,The Only Thing,188720,indie
